epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.647,1.53589,3.02706,1.44749,0.72244,0.70399,0.8008,0.55054,0.99178,2.06978,0.97937,0.00015,0.00015,0.00015
2,452.305,1.00301,1.16885,1.01211,0.6298,0.70715,0.71803,0.48978,0.92814,2.00252,0.95374,0.000209375,0.000209375,0.000209375
3,664.685,0.92924,0.90346,0.97458,0.7279,0.86103,0.89231,0.61661,0.92265,1.34417,0.95021,0.0001615,0.0001615,0.0001615
